code_segment,nom_segment,type_route,longueur_km,nombre_voies,capacite_vehicules_h,lat_debut,lon_debut,lat_fin,lon_fin,lat_centre,lon_centre,est_axe_critique,source_donnee,date_extraction
OSM_401736506_732127840_0,Rue Dominique Savio(N°1.225),Rue secondaire,0.292609532993022,2,1600,4.0289856,9.6968636,4.026781,9.6954232,4.027883300502792,9.696143398957805,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_401736506_401737062_0,Rue Njo-Njo,Avenue principale,0.12269303820647393,2,3000,4.0289856,9.6968636,4.0283757,9.6977854,4.028680650102035,9.697324500184436,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_401736506_2577921116_0,Rue Njo-Njo,Avenue principale,0.20253153861948409,2,3000,4.0289856,9.6968636,4.0301251,9.6954609,4.0295100505773025,9.696120876427813,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_401736896_4052897787_0,Segment sans nom,Rue secondaire,0.00880993791951528,2,1600,4.049743,9.7016476,4.0496919,9.7017083,4.049717450000412,9.701677950000981,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_401736896_732131175_0,Boulevard de la République(Rue 1.729),Avenue principale,0.14551394904020315,2,3000,4.049743,9.7016476,4.048725,9.7008237,4.0492306335611294,9.701239777180282,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_401736899_732153362_0,Segment sans nom,Rue secondaire,0.038316195426460274,2,1600,4.0481208,9.7018154,4.0480953,9.7014709,4.04810805001883,9.701643150000464,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_401736899_4052897787_0,Segment sans nom,Rue secondaire,0.1751072495620063,2,1600,4.0481208,9.7018154,4.0496919,9.7017083,4.0489061428239586,9.701758936618116,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_401736899_732123497_0,Segment sans nom,Rue secondaire,0.09814137992715814,2,1600,4.0481208,9.7018154,4.0472407,9.7018816,4.047680609057973,9.701846694255133,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_401737062_732122911_0,Rue 1.229,Rue secondaire,0.09889052737820853,2,1600,4.0283757,9.6977854,4.0291167,9.6982784,4.028746200058544,9.698031899880439,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_401737062_401736506_0,Rue Njo-Njo,Avenue principale,0.12269303820647393,2,3000,4.0283757,9.6977854,4.0289856,9.6968636,4.028680650102035,9.697324500184436,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_401737062_732147094_0,Rue 1.229,Rue secondaire,0.29242432385885964,2,1600,4.0283757,9.6977854,4.0261826,9.6963305,4.027278705473158,9.697058614280689,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_401737062_2370676606_0,Rue Njo-Njo,Avenue principale,0.12239276089827399,2,3000,4.0283757,9.6977854,4.0277701,9.6987068,4.028073449049037,9.698246458157021,False,OpenStreetMap,2026-05-30T20:07:09.399149
