code_segment,nom_segment,type_route,longueur_km,nombre_voies,capacite_vehicules_h,lat_debut,lon_debut,lat_fin,lon_fin,lat_centre,lon_centre,est_axe_critique,source_donnee,date_extraction
OSM_732118162_732122109_0,Route Deido Bonanjo (N°1.705),Avenue principale,0.13898810080871415,2,3000,4.0688502,9.7119326,4.0680433,9.7109757,4.068444654341953,9.711455890479177,True,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_732118162_732123766_0,Route Deido Bonanjo (N°1.705),Avenue principale,0.08037137764493153,2,3000,4.0688502,9.7119326,4.0693317,9.7124729,4.069091972584664,9.712201827226883,True,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_732118537_5799337559_0,Route Akwa Nord,Avenue principale,0.010843040418917175,2,3000,4.0769057,9.7177753,4.0769972,9.7178091,4.076951450000373,9.717792199998847,True,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_732118537_732131839_0,Route Akwa Nord,Avenue principale,0.20176447719934343,2,3000,4.0769057,9.7177753,4.0751628,9.7172693,4.076034250097509,9.717522299652131,True,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_732118646_732152260_0,Route du Marché Deido,Rue secondaire,0.14782702378923765,2,1600,4.0620941,9.7200076,4.0611303,9.7190896,4.061612200182205,9.719548599725503,True,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_732118693_732131430_0,Rue 4.164 Bonaberie,Rue secondaire,0.06379388523800066,2,1600,4.0796502,9.6600636,4.0795056,9.6606202,4.0795779000443,9.660341900032165,True,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_732118693_732150055_0,Rue 4.164 Bonaberie,Rue secondaire,0.03156388785196069,2,1600,4.0796502,9.6600636,4.0797503,9.6597973,4.079700250009743,9.659930450009776,True,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_732118947_732139511_0,Rue 4.177 Grand Hangar Bonaberi,Rue secondaire,0.04118243016005609,2,1600,4.0774394,9.6559596,4.0771061,9.6557977,4.077272750007126,9.655878649981226,True,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_732118947_732133183_0,Rue 4.177 Grand Hangar Bonaberi,Rue secondaire,0.058546591833221806,2,1600,4.0774394,9.6559596,4.0778419,9.6562999,4.0776406500253985,9.65612974995655,True,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_732119017_5822587575_0,Raccourci vers le Marché New-Deido,Rue secondaire,0.017135713700189667,1,800,4.0598705,9.7173026,4.0597628,9.7171921,4.05981665000258,9.717247349996358,True,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_732119265_732122419_0,Rue de New Bell,Avenue principale,0.15182348916340244,2,3000,4.0320145,9.7000428,4.0316286,9.6987483,4.031762266497432,9.699413531652562,True,OpenStreetMap,2026-05-30T20:07:09.399149
