date_heure,temperature_c,precipitation_mm,pluie_mm,humidite_pct,vent_kmh,code_meteo_wmo,visibilite_m,couverture_nuages_pct,condition_meteo,coefficient_impact_trafic,annee,mois,jour,heure,jour_semaine
2022-01-01 00:00:00,25.0,0.0,0.0,92,3.7,2,,76,Nuageux,1.0,2022,1,1,0,5
2022-01-01 01:00:00,24.6,0.0,0.0,96,1.9,1,,45,Nuageux,1.0,2022,1,1,1,5
2022-01-01 02:00:00,24.1,0.0,0.0,98,4.4,2,,57,Nuageux,1.0,2022,1,1,2,5
2022-01-01 03:00:00,23.9,0.0,0.0,98,3.6,1,,45,Nuageux,1.0,2022,1,1,3,5
2022-01-01 04:00:00,24.0,0.0,0.0,98,4.0,2,,67,Nuageux,1.0,2022,1,1,4,5
2022-01-01 05:00:00,23.6,0.2,0.2,98,4.5,51,,64,Pluie legere,1.2,2022,1,1,5,5
2022-01-01 06:00:00,23.5,0.0,0.0,98,4.4,3,,100,Nuageux,1.0,2022,1,1,6,5
2022-01-01 07:00:00,24.0,0.0,0.0,97,2.6,3,,100,Nuageux,1.0,2022,1,1,7,5
2022-01-01 08:00:00,25.2,0.0,0.0,91,4.3,3,,100,Nuageux,1.0,2022,1,1,8,5
2022-01-01 09:00:00,26.3,0.0,0.0,86,2.9,3,,100,Nuageux,1.0,2022,1,1,9,5
2022-01-01 10:00:00,27.8,0.1,0.1,80,2.0,51,,100,Ensoleille,1.0,2022,1,1,10,5
2022-01-01 11:00:00,29.2,0.0,0.0,72,1.5,3,,100,Nuageux,1.0,2022,1,1,11,5
2022-01-01 12:00:00,30.5,0.0,0.0,66,2.9,3,,100,Nuageux,1.0,2022,1,1,12,5
2022-01-01 13:00:00,30.5,0.0,0.0,65,3.7,3,,100,Nuageux,1.0,2022,1,1,13,5
2022-01-01 14:00:00,28.9,1.1,1.1,74,9.3,55,,100,Pluie legere,1.2,2022,1,1,14,5
2022-01-01 15:00:00,28.8,0.1,0.1,74,10.4,51,,99,Ensoleille,1.0,2022,1,1,15,5
2022-01-01 16:00:00,28.0,0.0,0.0,75,10.4,1,,30,Nuageux,1.0,2022,1,1,16,5
2022-01-01 17:00:00,27.6,0.0,0.0,75,11.1,0,,18,Ensoleille,1.0,2022,1,1,17,5
2022-01-01 18:00:00,26.8,0.0,0.0,81,9.7,1,,32,Nuageux,1.0,2022,1,1,18,5
2022-01-01 19:00:00,26.0,0.0,0.0,86,10.9,0,,12,Ensoleille,1.0,2022,1,1,19,5
2022-01-01 20:00:00,25.8,0.0,0.0,88,7.9,1,,27,Nuageux,1.0,2022,1,1,20,5
2022-01-01 21:00:00,25.2,0.0,0.0,92,5.0,2,,72,Nuageux,1.0,2022,1,1,21,5
2022-01-01 22:00:00,24.8,0.1,0.1,94,6.8,51,,75,Ensoleille,1.0,2022,1,1,22,5
2022-01-01 23:00:00,24.6,0.0,0.0,94,6.5,1,,37,Nuageux,1.0,2022,1,1,23,5
2022-01-02 00:00:00,24.4,0.0,0.0,94,7.0,3,,100,Nuageux,1.0,2022,1,2,0,6
2022-01-02 01:00:00,24.6,0.0,0.0,94,7.7,3,,100,Nuageux,1.0,2022,1,2,1,6
2022-01-02 02:00:00,26.0,0.0,0.0,90,2.5,3,,100,Nuageux,1.0,2022,1,2,2,6
2022-01-02 03:00:00,24.0,0.0,0.0,97,4.5,3,,100,Nuageux,1.0,2022,1,2,3,6
2022-01-02 04:00:00,23.2,0.0,0.0,98,6.4,3,,100,Nuageux,1.0,2022,1,2,4,6
2022-01-02 05:00:00,22.9,0.0,0.0,99,6.0,3,,100,Nuageux,1.0,2022,1,2,5,6
2022-01-02 06:00:00,22.9,0.0,0.0,99,5.4,3,,100,Nuageux,1.0,2022,1,2,6,6
2022-01-02 07:00:00,23.8,0.1,0.1,97,4.0,51,,100,Ensoleille,1.0,2022,1,2,7,6
2022-01-02 08:00:00,25.5,0.0,0.0,90,5.8,3,,100,Nuageux,1.0,2022,1,2,8,6
2022-01-02 09:00:00,27.1,0.1,0.1,82,4.7,51,,100,Ensoleille,1.0,2022,1,2,9,6
2022-01-02 10:00:00,28.8,0.1,0.1,74,3.3,51,,100,Ensoleille,1.0,2022,1,2,10,6
2022-01-02 11:00:00,30.4,0.0,0.0,65,0.7,3,,99,Nuageux,1.0,2022,1,2,11,6
2022-01-02 12:00:00,31.6,0.0,0.0,57,2.5,3,,99,Nuageux,1.0,2022,1,2,12,6
2022-01-02 13:00:00,31.8,0.0,0.0,56,4.9,3,,100,Nuageux,1.0,2022,1,2,13,6
2022-01-02 14:00:00,32.0,0.1,0.1,57,7.7,51,,100,Ensoleille,1.0,2022,1,2,14,6
2022-01-02 15:00:00,30.8,0.1,0.1,62,12.0,51,,97,Ensoleille,1.0,2022,1,2,15,6
2022-01-02 16:00:00,29.4,0.0,0.0,66,13.0,3,,100,Nuageux,1.0,2022,1,2,16,6
2022-01-02 17:00:00,28.2,0.0,0.0,75,13.3,3,,100,Nuageux,1.0,2022,1,2,17,6
2022-01-02 18:00:00,26.7,0.0,0.0,85,13.3,3,,98,Nuageux,1.0,2022,1,2,18,6
2022-01-02 19:00:00,26.4,0.0,0.0,89,12.8,3,,99,Nuageux,1.0,2022,1,2,19,6
2022-01-02 20:00:00,26.1,0.0,0.0,89,9.4,3,,100,Nuageux,1.0,2022,1,2,20,6
2022-01-02 21:00:00,26.0,0.0,0.0,91,7.7,3,,99,Nuageux,1.0,2022,1,2,21,6
2022-01-02 22:00:00,25.9,0.0,0.0,91,6.9,3,,99,Nuageux,1.0,2022,1,2,22,6
2022-01-02 23:00:00,25.4,0.0,0.0,94,5.4,3,,100,Nuageux,1.0,2022,1,2,23,6
