date_heure,code_segment,nom_segment,type_route,condition_meteo,pluie_mm,temperature_c,volume_vehicules,vitesse_moyenne_kmh,vitesse_libre_kmh,indice_congestion,niveau_service,densite_vehicules_km,temps_parcours_min,temps_reference_min,delai_supplementaire_min,longueur_bouchon_km,flag_incident,lat_centre,lon_centre
2023-01-01 09:30:00,OSM_732134229_732146019_0,Rue de Deido Bassa(N°1.878),Avenue principale,Ensoleille,0.1,27.1,17,50.0,50.0,1.0,A,29.952,0.68,0.68,0.0,0.0,False,4.04734654424766,9.742499590544387
2023-01-01 12:40:00,OSM_4443408474_732128797_0,Rue 4.515 bonaberi,Rue secondaire,Ensoleille,0.0,31.8,3,29.12,30.0,1.0303,A,9.189,0.67,0.65,0.02,0.0,False,4.096836177277344,9.656973715929103
2023-01-01 14:10:00,OSM_732152277_4510467495_0,Rue de New Bell,Avenue principale,Ensoleille,0.0,31.9,11,50.0,50.0,1.0,A,30.339,0.44,0.44,0.0,0.0,False,4.035541799867914,9.70452263787373
2023-01-01 14:50:00,OSM_4510467495_732152277_0,Rue de New Bell,Avenue principale,Ensoleille,0.0,31.9,16,50.0,50.0,1.0,A,44.13,0.44,0.44,0.0,0.0,False,4.035541799867914,9.70452263787373
2023-01-01 15:10:00,OSM_1836919930_732124701_1,Rue Bonanjo Joss (N°1.093),Rue secondaire,Pluie legere,0.6,30.8,6,27.72,30.0,1.0822,A,19.132,0.68,0.63,0.05,0.0,False,4.044419662883315,9.68926578194277
2023-01-01 17:15:00,OSM_732134229_732146019_0,Rue de Deido Bassa(N°1.878),Avenue principale,Nuageux,0.0,28.7,22,46.63,50.0,1.0722,A,38.762,0.73,0.68,0.05,0.0,False,4.04734654424766,9.742499590544387
2023-01-01 18:50:00,OSM_732137258_732149443_0,Rue Ernest Betote Akwa (N° 1.358),Rue secondaire,Nuageux,0.0,27.6,7,30.0,30.0,1.0,A,18.446,0.76,0.76,0.0,0.0,False,4.047682565131344,9.697795325425869
2023-01-01 22:45:00,OSM_732152277_4510467495_0,Rue de New Bell,Avenue principale,Nuageux,0.0,25.3,6,50.0,50.0,1.0,A,16.549,0.44,0.44,0.0,0.0,False,4.035541799867914,9.70452263787373
2023-01-02 00:10:00,OSM_732144409_5815641857_0,Route Cimitière Ndokoti,Rue secondaire,Nuageux,0.0,24.5,1,30.0,30.0,1.0,A,2.256,0.89,0.89,0.0,0.0,False,4.046215965881986,9.738026671684011
2023-01-02 04:40:00,OSM_732152277_4510467495_0,Rue de New Bell,Avenue principale,Nuageux,0.0,23.5,2,50.0,50.0,1.0,A,5.516,0.44,0.44,0.0,0.0,False,4.035541799867914,9.70452263787373
2023-01-02 06:10:00,OSM_4510467495_732152277_0,Rue de New Bell,Avenue principale,Nuageux,0.0,22.6,26,45.63,50.0,1.0958,A,71.711,0.48,0.44,0.04,0.0,False,4.035541799867914,9.70452263787373
2023-01-02 06:30:00,OSM_732137258_732149443_0,Rue Ernest Betote Akwa (N° 1.358),Rue secondaire,Nuageux,0.0,22.6,11,23.95,30.0,1.2527,B,28.986,0.95,0.76,0.19,0.0,False,4.047682565131344,9.697795325425869
2023-01-02 09:45:00,OSM_732142580_732152596_0,Route Deido Bonanjo (N°1.705),Avenue principale,Ensoleille,0.1,26.8,29,30.51,50.0,1.6388,C,84.741,0.67,0.41,0.26,0.0,False,4.071942109226916,9.715307397211689
2023-01-02 10:40:00,OSM_732137258_732149443_0,Rue Ernest Betote Akwa (N° 1.358),Rue secondaire,Nuageux,0.0,28.4,11,20.79,30.0,1.4427,C,28.986,1.1,0.76,0.34,0.0,False,4.047682565131344,9.697795325425869
2023-01-02 12:50:00,OSM_1836919930_732124701_1,Rue Bonanjo Joss (N°1.093),Rue secondaire,Ensoleille,0.1,30.5,16,19.02,30.0,1.5772,C,51.019,0.99,0.63,0.36,0.0,False,4.044419662883315,9.68926578194277
2023-01-02 17:30:00,OSM_732142580_732152596_0,Route Deido Bonanjo (N°1.705),Avenue principale,Nuageux,0.0,28.0,57,25.85,50.0,1.9343,C,166.559,0.79,0.41,0.38,0.0,False,4.071942109226916,9.715307397211689
2023-01-02 18:10:00,OSM_732144409_5815641857_0,Route Cimitière Ndokoti,Rue secondaire,Nuageux,0.0,26.9,21,17.72,30.0,1.6931,C,47.381,1.5,0.89,0.61,0.0,False,4.046215965881986,9.738026671684011
2023-01-02 22:30:00,OSM_732149443_732137258_0,Rue Ernest Betote Akwa (N° 1.358),Rue secondaire,Nuageux,0.0,25.0,5,30.0,30.0,1.0,A,13.176,0.76,0.76,0.0,0.0,False,4.047682565131345,9.697795325425869
2023-01-03 00:00:00,OSM_5815641857_732144409_0,Route Cimitière Ndokoti,Rue secondaire,Nuageux,0.0,24.5,0,30.0,30.0,1.0,A,0.0,0.89,0.89,0.0,0.0,False,4.046215965881986,9.738026671684011
2023-01-03 00:30:00,OSM_4510467495_732152277_0,Rue de New Bell,Avenue principale,Nuageux,0.0,24.5,4,50.0,50.0,1.0,A,11.032,0.44,0.44,0.0,0.0,False,4.035541799867914,9.70452263787373
2023-01-03 01:25:00,OSM_732124701_1836919930_1,Rue Bonanjo Joss (N°1.093),Rue secondaire,Nuageux,0.0,23.8,1,30.0,30.0,1.0,A,3.189,0.63,0.63,0.0,0.0,False,4.044419662883311,9.689265781942767
2023-01-03 04:05:00,OSM_5818023127_5339184395_0,Ancienne Route du Pont du Wouri,Rue secondaire,Nuageux,0.0,23.7,0,30.0,30.0,1.0,A,0.0,3.44,3.44,0.0,0.0,False,4.071434856210289,9.696362126407571
2023-01-03 05:10:00,OSM_5815641857_732144409_0,Route Cimitière Ndokoti,Rue secondaire,Nuageux,0.0,23.0,1,30.0,30.0,1.0,A,2.256,0.89,0.89,0.0,0.0,False,4.046215965881986,9.738026671684011
2023-01-03 10:45:00,OSM_5818023127_5339184395_0,Ancienne Route du Pont du Wouri,Rue secondaire,Ensoleille,0.1,29.1,12,21.54,30.0,1.3929,B,6.979,4.79,3.44,1.35,0.0,False,4.071434856210289,9.696362126407571
2023-01-03 10:55:00,OSM_732124701_1836919930_1,Rue Bonanjo Joss (N°1.093),Rue secondaire,Ensoleille,0.1,29.1,14,19.13,30.0,1.5682,C,44.642,0.98,0.63,0.35,0.0,False,4.044419662883311,9.689265781942767
2023-01-03 13:00:00,OSM_5339184403_5745440187_0,Pont Routier du Wouri vers Deido,Voie rapide,Nuageux,0.0,32.0,58,44.94,70.0,1.5578,C,25.422,3.05,1.96,1.09,0.0,False,4.070711271194256,9.6950237471281
2023-01-03 13:45:00,OSM_5339184395_5818023127_0,Ancienne Route du Pont du Wouri,Rue secondaire,Nuageux,0.0,32.0,11,21.79,30.0,1.3769,B,6.398,4.73,3.44,1.29,0.0,False,4.071434856210292,9.696362126407571
2023-01-03 14:45:00,OSM_5818159523_5815859983_0,Rue de Deido Bassa(N°1.878),Avenue principale,Nuageux,0.0,32.5,39,35.31,50.0,1.4159,B,107.165,0.62,0.44,0.18,0.0,False,4.06069533139234,9.72367315136712
2023-01-03 21:45:00,OSM_5815641857_732144409_0,Route Cimitière Ndokoti,Rue secondaire,Nuageux,0.0,26.0,9,25.79,30.0,1.1632,B,20.306,1.03,0.89,0.14,0.0,False,4.046215965881986,9.738026671684011
2023-01-04 01:45:00,OSM_732140608_5818159526_0,Rue de Deido Bassa(N°1.878),Avenue principale,Nuageux,0.0,24.8,2,50.0,50.0,1.0,A,5.528,0.43,0.43,0.0,0.0,False,4.060643721470337,9.72363283523639
2023-01-04 03:35:00,OSM_732152596_732142580_0,Route Deido Bonanjo (N°1.705),Avenue principale,Nuageux,0.0,24.8,1,50.0,50.0,1.0,A,2.922,0.41,0.41,0.0,0.0,False,4.071942109226916,9.715307397211689
2023-01-04 04:05:00,OSM_1836919930_732124701_1,Rue Bonanjo Joss (N°1.093),Rue secondaire,Ensoleille,0.1,24.3,0,30.0,30.0,1.0,A,0.0,0.63,0.63,0.0,0.0,False,4.044419662883315,9.68926578194277
2023-01-04 04:35:00,OSM_5745440186_5339184402_0,Pont sur le Wouri vers Bonaberi,Voie rapide,Ensoleille,0.1,24.3,3,70.0,70.0,1.0,A,1.309,1.96,1.96,0.0,0.0,False,4.070835752715689,9.695075256155985
